place_id,place_name,review_id,name,reviewer_profile,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJx6EEULwR2jER8Ps0iB4n4to,Fitness First @ Junction 10,ChdDSUhNMG9nS0VJQ0FnSUQ4cWNfODZBRRAB,Wellbase Builder Pte Ltd,https://www.google.com/maps/contrib/111170181237943074112/reviews?entry=ttu,5,,6 days ago,2024-12-11T14:43:14,,,,0,11,72,1,,
ChIJx6EEULwR2jER8Ps0iB4n4to,Fitness First @ Junction 10,ChZDSUhNMG9nS0VJQ0FnSURQLTgzZExnEAE,Chiew Mei Ng,https://www.google.com/maps/contrib/116455001134825918557/reviews?entry=ttu,1,"Air In the gym very smelly gym never place air purifier, toiets very smelly inconsidate members always hog machine . Personal trainer very rude ask me to move away when he wants to train his client. One the the worst FF gym o been to",a week ago,2024-12-10T14:43:14,,,,0,1,,,,
ChIJx6EEULwR2jER8Ps0iB4n4to,Fitness First @ Junction 10,ChZDSUhNMG9nS0VJQ0FnSUQza2EzSWRBEAE,Peter,https://www.google.com/maps/contrib/117529076850233239566/reviews?entry=ttu,1,"This club doesnt even deserve one star rating ,the gym didnt revamp or upgraded I dun see cleaner sanitised the equipment or machine ,look at market street cleaners more active n they do clean up sanitised every 30 mins to ome hours , treadmill machine got sweaty marks n cleaner does not bother to clean up and wrost still next morning still have one of the wrost fitness first branch I had visited. Terrible",3 weeks ago,2024-11-26T14:43:14,,,,0,3,1,,,
ChIJx6EEULwR2jER8Ps0iB4n4to,Fitness First @ Junction 10,ChdDSUhNMG9nS0VJQ0FnSUQzazV2QXl3RRAB,Carol Chin,https://www.google.com/maps/contrib/112974010414911373248/reviews?entry=ttu,4,"I joined the centre last Oct. Staff here are really friendly. I'm a regular of Tuesday boom class and the trainer, Ansafuddin (Danny) is always so passionate and helpful to guide us through. A big thumbs up for him!",4 weeks ago,2024-11-19T14:43:14,,,,0,2,,,,
ChIJx6EEULwR2jER8Ps0iB4n4to,Fitness First @ Junction 10,ChdDSUhNMG9nS0VJQ0FnSURPOWZIbHJBRRAB,Howard Teo,https://www.google.com/maps/contrib/112890648073694722844/reviews?entry=ttu,4,"Despite all sorts of brand names and competitive prices were popping out, Fitness First Junction 10 had been my home club for a couple of years.

If you visit other gyms, you will realize that Fitness First has a uniformity in full standards across most branches. And their locations are always very accessible.

Facilities are holistic from cardio, to machines, free weights and even a functional zone for your Hyrox Prep. Operating hours are not 24/7. But it is very convenient for me.

I have no intention of changing gyms for now. I hope the organization will cherish their loyal customers.",a month ago,2024-11-17T14:43:14,"Thank you Howard for your rating and honest feedback. We appreciate the feedbacks given as we work on providing members like yourself a great gym experience over here in FF J10. Do share with us if there is anything else that we can improve on. See you at the gym Howard. :)


- Shahnan

Sales and Service Manager of Fitness First J10",2 years ago,2022-12-17T14:43:14,1,34,70,1,,
ChIJx6EEULwR2jER8Ps0iB4n4to,Fitness First @ Junction 10,ChZDSUhNMG9nS0VJQ0FnSUREcXBqdU93EAE,Yong Wen Chua,https://www.google.com/maps/contrib/111110033037481101263/reviews?entry=ttu,5,Good selection of free weights and machines. Bigger than it looks from the outside.,2 months ago,2024-10-17T14:43:14,"Hi Yong Wen,


Thank you for your generous 5 star rating. I am pleased to hear about your experience on the gym floor. Once again, thank your for choosing Fitness First as your preferred health club provider.


- Shahnan (Club General Manager of Fitness First Junction 10)",7 months ago,2024-05-17T14:43:14,0,261,470,1,,
ChIJx6EEULwR2jER8Ps0iB4n4to,Fitness First @ Junction 10,ChdDSUhNMG9nS0VJQ0FnSURIMzZqYWxBRRAB,Mabel Tang,https://www.google.com/maps/contrib/112754609712298196886/reviews?entry=ttu,5,"My recent experience with my fitness trainer Tony Tan and the front desk staff Fafa at Fitness First @ Junction 10 is amazing. My trainer provides personalised guidance and that keeps me motivated and on track with my goals. Fafa is very approachable and helpful, making every visit welcoming!",2 months ago,2024-10-17T14:43:14,"Dear Mabel,


Thank you for taking the time to leave a review. We are delighted to know that you have enjoyed your visit at our gym and that Tony and Fafa has provided the services that you deserve.


We hope to see you again soon. Have a blessed weekend.


Warm Regards,

Ida Ab Razak",2 months ago,2024-10-17T14:43:14,0,3,,,,
ChIJx6EEULwR2jER8Ps0iB4n4to,Fitness First @ Junction 10,ChdDSUhNMG9nS0VJQ0FnSUQ3aEpXZmxBRRAB,Fance Chan,https://www.google.com/maps/contrib/108952212569874171725/reviews?entry=ttu,1,"Junction 10 used to have many great and strong instructors like Joe , Pierre, Gary, Louis, Magesh, Joleen and more. They have grown together with the students. Now the best of the best were asked to leave without a reason.

Classes like viper, bosu , circuit,
Animal flow, sprint , total body conditioning , bodyattack and lesmil core are removed too. These classes are mainly replaced by pump, combat and zumba. Feedback to management but was ignored.

No good trainers. No variety classes. Maybe is time for us to move on too. Government 365 app classes are free and they have more to offer. BTW 1 star is for front desk staff n cleaners. Thanks for all these yrs hardwork.",3 months ago,2024-09-17T14:43:14,,,,6,7,4,,,
ChIJx6EEULwR2jER8Ps0iB4n4to,Fitness First @ Junction 10,ChdDSUhNMG9nS0VJQ0FnSUM3Nzg3RHF3RRAB,Sabeera Ali,https://www.google.com/maps/contrib/117667025749858429610/reviews?entry=ttu,5,"Great facilities, class offerings, friendly staff and knowledgeable PTs.",3 months ago,2024-09-17T14:43:14,,,,0,8,2,,,
ChIJx6EEULwR2jER8Ps0iB4n4to,Fitness First @ Junction 10,ChdDSUhNMG9nS0VJQ0FnSUM3bk0zTG9BRRAB,Annu Anandan,https://www.google.com/maps/contrib/113750280460912857021/reviews?entry=ttu,2,"Always been a passionate rpm rider at J10. To see great instructors being removed out of the blue is worrying. First we lost Joe, now to hear Pierre not having anymore classes makes me question where the group fitness spirit going? Theyve been an incredible and amazing instructors who always have so much crowd. I cant seem to understand why popular and well loved instructors who make so many ppl see the magic in rpm seem so easily replaceable.",4 months ago,2024-08-17T14:43:14,,,,9,3,,,,
