place_id,place_name,review_id,name,reviewer_profile,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJgfCnragZ2jER9L5TfSSX0rg,Virgin Active Paya Lebar,ChdDSUhNMG9nS0VJQ0FnSUN2ak9QS2pnRRAB,Nas Radz,https://www.google.com/maps/contrib/117784416113226568270/reviews?entry=ttu,5,The people at the counters are super nice & accommodating. Equipments are clean & well organized. Toilet is clean. Overall experience: great,a day ago,2024-12-09T11:35:31,,,,0,8,2,1,,
ChIJgfCnragZ2jER9L5TfSSX0rg,Virgin Active Paya Lebar,ChZDSUhNMG9nS0VJQ0FnSURQdGNXQ0tnEAE,Jade Sim,https://www.google.com/maps/contrib/107999629442655875329/reviews?entry=ttu,5,Started trial pass this week and attended my first reformer Pilates class. Fran was really detailed and patient. She took time to explain the basics of the equipment and moves. Enjoyed it and will be back again!,5 days ago,2024-12-05T11:35:31,,,,0,14,,,,
ChIJgfCnragZ2jER9L5TfSSX0rg,Virgin Active Paya Lebar,ChdDSUhNMG9nS0VJQ0FnSUNQNF9iaW1BRRAB,Sonic Wang,https://www.google.com/maps/contrib/106730713614190502565/reviews?entry=ttu,5,Zaidi is always very friendly with a warm welcoming smile. He's also very nice to help me check an email sending from virgin active regarding to membership and then he advised me what could I do next.,a week ago,2024-12-03T11:35:31,"Thank you for taking the time to share your experience with us! Were thrilled to hear about Zaidis exceptional service and his warm, friendly demeanor.

Your feedback truly means a lot to us, and we'll be sure to pass along your kind words to Zaidi--it will make his day! We look forward to welcoming you again soon.",a week ago,2024-12-03T11:35:31,0,27,5,1,,
ChIJgfCnragZ2jER9L5TfSSX0rg,Virgin Active Paya Lebar,ChZDSUhNMG9nS0VJQ0FnSUNQZzZ6U2JnEAE,Julius Uy,https://www.google.com/maps/contrib/112439504312101001461/reviews?entry=ttu,5,"Very good service. Especially when I lost my Bose earphones. Philip was very helpful to help me find it and I got it back.

Thank you so much! Love the team here.",a week ago,2024-12-03T11:35:31,"Thank you for sharing your wonderful feedback! Were delighted to hear that you had a positive experience with our team.

Philip will be thrilled to know his efforts helped you recover your Bose earphones.

Your kind words motivate us to continue delivering exceptional service. We truly appreciate your support and look forward to welcoming you back soon!",a week ago,2024-12-03T11:35:31,0,9,23,1,,
ChIJgfCnragZ2jER9L5TfSSX0rg,Virgin Active Paya Lebar,ChZDSUhNMG9nS0VJQ0FnSUNQLUkyQldnEAE,Ain Hamid,https://www.google.com/maps/contrib/110470942404739820391/reviews?entry=ttu,4,"Had a situation with one of my class bookings. Was both shocked and upset about it. However, thankfully, Mohd Faiz stepped in and assist to resolve the matter calmly. Much appreciated his effort.",2 weeks ago,2024-11-26T11:35:31,,,,1,5,,,,
ChIJgfCnragZ2jER9L5TfSSX0rg,Virgin Active Paya Lebar,ChdDSUhNMG9nS0VJQ0FnSURYcUpMV2p3RRAB,Isaac Torres,https://www.google.com/maps/contrib/109700399965955041580/reviews?entry=ttu,4,,a month ago,2024-11-10T11:35:31,,,,0,56,140,1,,
ChIJgfCnragZ2jER9L5TfSSX0rg,Virgin Active Paya Lebar,ChdDSUhNMG9nS0VJQ0FnSUNYb2ZmT21BRRAB,Vanesa Woon,https://www.google.com/maps/contrib/111006387552264057518/reviews?entry=ttu,5,The staff at the reception are all very friendly and always ready to help! The reformer classes and body bump classes are awesome ,a month ago,2024-11-10T11:35:31,Thank you for your wonderful feedback! Were so glad to hear that our reception team made you feel welcome and that youre enjoying the Reformer and Body Pump classes. We look forward to seeing you in more sessions soon!,a month ago,2024-11-10T11:35:31,0,7,,,,
ChIJgfCnragZ2jER9L5TfSSX0rg,Virgin Active Paya Lebar,ChdDSUhNMG9nS0VJQ0FnSUNYb2JmRHZ3RRAB,Janene Kd,https://www.google.com/maps/contrib/108244081755780894974/reviews?entry=ttu,5,Great service by staff! Love hayati and suhaila  and amazing body pump and reformer classes.,a month ago,2024-11-10T11:35:31,"Thank you so much for your kind words! We're thrilled to hear that you enjoyed the Body Pump and Reformer classes, and we couldn't agree more--Hayati and Suhaila are truly wonderful! We'll be sure to pass along your appreciation to them. Looking forward to seeing you in more classes soon!",a month ago,2024-11-10T11:35:31,0,9,2,,,
ChIJgfCnragZ2jER9L5TfSSX0rg,Virgin Active Paya Lebar,ChZDSUhNMG9nS0VJQ0FnSUNYaEtTWUdBEAE,Jasper S.,https://www.google.com/maps/contrib/102500825226562827118/reviews?entry=ttu,1,"Wrong location on the map, nobody pick up the phone.",a month ago,2024-11-10T11:35:31,,,,0,27,20,,,
ChIJgfCnragZ2jER9L5TfSSX0rg,Virgin Active Paya Lebar,ChZDSUhNMG9nS0VJQ0FnSURuby1DYVN3EAE,Dickson Goh,https://www.google.com/maps/contrib/118016854176306442577/reviews?entry=ttu,5,"Working with Khai has genuinely transformed my life and fitness journey! When I started, my body fat percentage was at a discouraging high. With Khais expert guidance, Ive seen a remarkable shift. Ive dropped from 26% body fat to 21% and my weight has decreased by 5kg in 3 months!

Khais tailored approach has improved my shoulder mobility and knee health dramatically. I no longer worry about knee pain, thanks to the simple yet effective rehab exercises Khai designed for me. His strength training regimen has also taken me to new heights. Ive hit personal records that I never thought was possible.

One of the most rewarding aspects has been fitting into clothes I thought Id never wear again, including my work uniform. Its an incredible feeling to see such tangible results and feel more confident every day.

Throughout our sessions, Khais been supportive, motivating, and incredibly knowledgeable. He makes every workout session enjoyable and challenging. If youre looking for someone who truly cares about your progress and will push you to be your best, I cant recommend Khai enough.

Thank you, Khai, for everything youve helped me achieve!",2 months ago,2024-10-10T11:35:31,"Wow, what an inspiring transformation! Were thrilled to hear about the incredible progress youve made with Khais guidance. From reducing body fat to overcoming knee pain and hitting personal records, it sounds like your fitness journey has truly been life-changing. Were so proud of the dedication and hard work youve put in, and its clear Khais expertise and support have made a huge impact. Thank you for sharing your amazing story, and well make sure to pass on your heartfelt appreciation to Khai!",2 months ago,2024-10-10T11:35:31,0,1,,,,
