review,rating,gym,branch,length,year
"Air In the gym very smelly gym never place air purifier, toiets very smelly inconsidate members always hog machine . Personal trainer very rude ask me to move away when he wants to train his client. One the the worst FF gym o been to",1,Fitness First,Junction 10,233,2024
"This club doesnt even deserve one star rating ,the gym didnt revamp or upgraded I dun see cleaner sanitised the equipment or machine ,look at market street cleaners more active n they do clean up sanitised every 30 mins to ome hours , treadmill machine got sweaty marks n cleaner does not bother to clean up and wrost still next morning still have one of the wrost fitness first branch I had visited. Terrible",1,Fitness First,Junction 10,409,2024
"I joined the centre last Oct. Staff here are really friendly. I'm a regular of Tuesday boom class and the trainer, Ansafuddin (Danny) is always so passionate and helpful to guide us through. A big thumbs up for him!",4,Fitness First,Junction 10,215,2024
"Despite all sorts of brand names and competitive prices were popping out, Fitness First Junction 10 had been my home club for a couple of years.

If you visit other gyms, you will realize that Fitness First has a uniformity in full standards across most branches. And their locations are always very accessible.

Facilities are holistic from cardio, to machines, free weights and even a functional zone for your Hyrox Prep. Operating hours are not 24/7. But it is very convenient for me.

I have no intention of changing gyms for now. I hope the organization will cherish their loyal customers.",4,Fitness First,Junction 10,594,2024
Good selection of free weights and machines. Bigger than it looks from the outside.,5,Fitness First,Junction 10,83,2024
"My recent experience with my fitness trainer Tony Tan and the front desk staff Fafa at Fitness First @ Junction 10 is amazing. My trainer provides personalised guidance and that keeps me motivated and on track with my goals. Fafa is very approachable and helpful, making every visit welcoming!",5,Fitness First,Junction 10,293,2024
"Junction 10 used to have many great and strong instructors like Joe , Pierre, Gary, Louis, Magesh, Joleen and more. They have grown together with the students. Now the best of the best were asked to leave without a reason.

Classes like viper, bosu , circuit,
Animal flow, sprint , total body conditioning , bodyattack and lesmil core are removed too. These classes are mainly replaced by pump, combat and zumba. Feedback to management but was ignored.

No good trainers. No variety classes. Maybe is time for us to move on too. Government 365 app classes are free and they have more to offer. BTW 1 star is for front desk staff n cleaners. Thanks for all these yrs hardwork.",1,Fitness First,Junction 10,675,2024
"Great facilities, class offerings, friendly staff and knowledgeable PTs.",5,Fitness First,Junction 10,72,2024
"Always been a passionate rpm rider at J10. To see great instructors being removed out of the blue is worrying. First we lost Joe, now to hear Pierre not having anymore classes makes me question where the group fitness spirit going? Theyve been an incredible and amazing instructors who always have so much crowd. I cant seem to understand why popular and well loved instructors who make so many ppl see the magic in rpm seem so easily replaceable.",2,Fitness First,Junction 10,447,2024
"Fafa has been really kind and friendly! She takes effort to remember your faces!

Billy was clear with the membership details and patient w all my queries.",5,Fitness First,Junction 10,155,2024
Fafa and billy were really helpful throughout my process of signing up for membership. ,5,Fitness First,Junction 10,87,2024
"The Fitness First @ Junction is pleasantly nice and clean. Good service staff.

Syaz was my PT from Fitness First @Junction 10. She is full of enthusiasm, her positive and engaging attitude plus her training knowledge and expertise has help me to achieve my personal health goals. Kudos to Syaz!",4,Fitness First,Junction 10,295,2024
"Ive had the pleasure of interacting with Sweatha at Fitness First Junction 10, and I can confidently say she is an outstanding staff member. Sweatha is incredibly respectful and friendly, always going out of her way to meet customers expectations. She is very knowledgeable and kind, making her approachable and easy to talk to. Whether you need assistance or just a friendly conversation, Sweatha is there to help with a smile. Highly recommend seeking her out for any help you need at the gym!",5,Fitness First,Junction 10,495,2024
