review,rating,gym,branch,length,year
The people at the counters are super nice & accommodating. Equipments are clean & well organized. Toilet is clean. Overall experience: great,5,Virgin Active,Paya Lebar,140,2024
Started trial pass this week and attended my first reformer Pilates class. Fran was really detailed and patient. She took time to explain the basics of the equipment and moves. Enjoyed it and will be back again!,5,Virgin Active,Paya Lebar,211,2024
Zaidi is always very friendly with a warm welcoming smile. He's also very nice to help me check an email sending from virgin active regarding to membership and then he advised me what could I do next.,5,Virgin Active,Paya Lebar,200,2024
"Very good service. Especially when I lost my Bose earphones. Philip was very helpful to help me find it and I got it back.

Thank you so much! Love the team here.",5,Virgin Active,Paya Lebar,162,2024
"Had a situation with one of my class bookings. Was both shocked and upset about it. However, thankfully, Mohd Faiz stepped in and assist to resolve the matter calmly. Much appreciated his effort.",4,Virgin Active,Paya Lebar,195,2024
The staff at the reception are all very friendly and always ready to help! The reformer classes and body bump classes are awesome ,5,Virgin Active,Paya Lebar,130,2024
Great service by staff! Love hayati and suhaila  and amazing body pump and reformer classes.,5,Virgin Active,Paya Lebar,92,2024
"Wrong location on the map, nobody pick up the phone.",1,Virgin Active,Paya Lebar,52,2024
"Working with Khai has genuinely transformed my life and fitness journey! When I started, my body fat percentage was at a discouraging high. With Khais expert guidance, Ive seen a remarkable shift. Ive dropped from 26% body fat to 21% and my weight has decreased by 5kg in 3 months!

Khais tailored approach has improved my shoulder mobility and knee health dramatically. I no longer worry about knee pain, thanks to the simple yet effective rehab exercises Khai designed for me. His strength training regimen has also taken me to new heights. Ive hit personal records that I never thought was possible.

One of the most rewarding aspects has been fitting into clothes I thought Id never wear again, including my work uniform. Its an incredible feeling to see such tangible results and feel more confident every day.

Throughout our sessions, Khais been supportive, motivating, and incredibly knowledgeable. He makes every workout session enjoyable and challenging. If youre looking for someone who truly cares about your progress and will push you to be your best, I cant recommend Khai enough.

Thank you, Khai, for everything youve helped me achieve!",5,Virgin Active,Paya Lebar,1152,2024
Philips is always greeting me at the counter starting my workout with a smile.,5,Virgin Active,Paya Lebar,78,2024
